@relation 'sat-problems-weka.filters.unsupervised.attribute.Remove-R2,11,18,20,22,65,78-79,118-120,123-124-weka.filters.unsupervised.attribute.Remove-R74-75-weka.filters.unsupervised.attribute.Remove-R85'

@attribute domain {petri-net-alignment,termes,spider,grounded-strips-spider,snake,settlers,grounded-strips-settlers,organic-synthesis,nurikabe,organic-synthesis-split,grounded-strips-nurikabe,flashfill,grounded-strips-flashfill,data-network,caldera,grounded-strips-caldera,caldera-split,grounded-strips-caldera-split,agricola,'?'}
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute effect_conditions_simplified numeric
@attribute translator_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute Maximaleffectsblack numeric
@attribute Hred-black numeric

@data
petri-net-alignment,2,3,458,4,1,4,268,643,1,1711,2477,0,2477,3088,760,269,727,1,191,643,4992,269,268,1049,2136,0.256435,2.03622,7.94052,0.996283,176,3.89963,10.5584,267,3.89963,17.731,570,7.94052,36.2464,687,7.94052,47.4527,176,3.89591,10.5596,380,5.38662,23.0491,570,7.2342,34.501,380,5.38662,23.0491,726,1727,3804,0.453996,0.420382,222,2.51115,0.060744,222,2.51115,0.060744,570,5.4612,0.121489,570,5.4612,0.060744,726,643,1.626316,-118,-0.162534,4.378576,-1,0.011194,0.161227,7.312594,30.674957,449402,4920,195,4920,307,3,311,208,190,585,23807,40.6957,117,158,310,40.6957,190,54.2586,40.6957,190,54.4977,10,0,269,4,307
agricola,3,19,84,33,2,265,1,22,1,258,37095,1584,38679,138385,39857,119,263,6,37,36429,404515,114,1,1553,771153,0.073406,496.557,6764.5,0.008772,79,13.114,14.704,59,13.114,11.4377,129038,6764.5,18945.2,169498,5370.72,23239.5,14,0.122807,1.30546,12,0.105263,1.11896,25,0.219298,2.33117,12,0.105263,1.11896,253,59622,350524,0.170094,0.004243,8055,158.874,0.185674,8148,156.747,0.185674,44809,674.537,0.417767,45522,667.111,0.185674,?,?,?,?,?,?,?,?,?,?,?,?,1324,8,1532,36,1,35,33,32,72,647,8.98611,37,1,34,8.98611,34,10.4403,8.98611,42,11.5758,?,?,?,?,36
petri-net-alignment,2,3,550,4,1,4,268,827,1,2263,3029,0,3029,3916,852,269,819,1,283,827,6188,269,268,1106,2780,0.243219,2.51356,10.3346,0.996283,214,4.11152,12.8542,267,4.11152,18.2279,846,10.3346,53.8569,871,10.3346,62.7065,214,4.10781,12.8552,564,7.09665,34.1807,846,9.28625,51.2397,564,7.09665,34.1807,818,2187,4908,0.445599,0.374028,312,3.02416,0.060744,312,3.02416,0.060744,906,6.65818,0.121489,906,6.65818,0.060744,?,?,?,?,?,?,?,?,?,?,?,?,5012,287,5012,399,3,403,296,282,677,45566,67.3058,117,158,402,67.3058,282,84.5104,67.3058,282,84.6404,10,0,269,4,399
petri-net-alignment,2,3,393,4,1,4,268,513,1,1321,2087,0,2087,2503,695,269,662,1,126,513,4147,269,268,1020,1681,0.263725,1.64804,6.24907,0.996283,159,3.79182,9.5342,267,3.79182,17.4459,375,6.24907,23.7809,557,6.24907,36.8862,159,3.7881,9.53548,250,4.17844,15.1274,375,5.78439,22.6504,250,4.17844,15.1274,661,1403,3026,0.463648,0.471133,222,2.15056,0.060744,222,2.15056,0.060744,488,4.61738,0.121489,488,4.61738,0.060744,661,513,1.952,-119,-0.18003,4.626042,0,0.011194,0.105208,8.604285,38.510723,263183,4855,130,4855,242,3,246,140,125,520,13537,26.0327,117,158,245,26.0327,125,36.5103,26.0327,128,36.9053,10,0,269,4,242
grounded-strips-caldera,2,1,0,455,1,45,3,3517,1,14287,3396,0,3396,9099,1131,381,769,77,154,1471,20530,305,3,10509,67743,0.029023,6.44619,222.108,0.009836,288,28.7934,34.7281,252,28.7934,26.1813,4028,222.108,437.952,2896,174.82,321.495,288,1.40984,17.4104,2896,13.7049,175.005,4028,16.3705,234.133,2896,13.7049,175.005,617,3844,33543,0.114599,0.16051,342,6.22623,0.884617,342,6.22623,0.884617,3904,32.4197,65.2049,3904,32.4197,0.884617,230,2506,2.2,-1,0.430435,1.108048,0,0,0,0,0,0,1398,32,1398,13,2,18,8,5,46,97,2.1087,20,2,24,2.1087,23,3.31662,2.1087,23,4.58258,?,?,?,?,12
petri-net-alignment,2,3,521,4,1,4,268,769,1,2089,2855,0,2855,3655,823,269,790,1,254,769,5811,269,268,1126,2577,0.238899,2.28863,9.57993,0.996283,226,4.18587,13.579,267,4.18587,18.4575,759,9.57993,48.275,813,9.57993,57.8561,226,4.18216,13.58,506,6.55762,30.6426,759,8.63941,45.931,506,6.55762,30.6426,789,2042,4560,0.447807,0.386386,268,2.86245,0.091117,268,2.86245,0.091117,789,6.28108,0.182233,789,6.28108,0.091117,789,769,1.470356,-118,-0.149556,4.200361,-1,0.011194,0.161227,6.51361,26.35631,644739,4983,258,4983,370,3,374,272,253,648,37794,58.3241,117,158,373,58.3241,253,74.6659,58.3241,253,74.8198,10,0,269,4,370
petri-net-alignment,2,3,511,4,1,4,268,749,1,2029,2795,0,2795,3565,813,269,780,1,244,749,5681,269,268,1127,2507,0.238687,2.22449,9.3197,0.996283,227,4.18959,13.64,267,4.18959,18.4566,729,9.3197,46.3669,793,9.3197,56.19,227,4.18587,13.641,486,6.37175,29.4253,729,8.41636,44.118,486,6.37175,29.4253,779,1992,4440,0.448649,0.391064,253,2.80669,0.060744,253,2.80669,0.060744,749,6.15106,0.121489,749,6.15106,0.060744,779,749,1.489712,-118,-0.151476,4.227201,-1,0.011194,0.161227,6.630197,26.504669,593857,4973,248,4973,360,3,364,253,243,638,35308,55.3417,117,158,363,55.3417,243,71.3232,55.3417,243,71.4843,10,0,269,4,360
agricola,3,19,86,33,2,270,1,22,1,258,59140,1666,60806,221309,63383,120,271,7,45,58457,641044,115,1,1577,1208561,0.072923,766.367,10509.2,0.008696,80,13.1652,14.8979,58,13.1652,11.5027,213102,10509.2,30936.6,276234,8316.54,36406.3,13,0.113043,1.20697,12,0.104348,1.11413,25,0.217391,2.3211,12,0.104348,1.11413,261,92482,542330,0.170527,0.002822,11817,237.316,0.184879,12008,234.758,0.184879,67401,1002.9,0.415978,68800,993.767,0.184879,?,?,?,?,?,?,?,?,?,?,?,?,1276,8,1276,33,1,35,32,32,72,647,8.98611,37,1,34,8.98611,34,10.4403,8.98611,42,11.5758,?,?,?,?,33
grounded-strips-caldera,2,1,0,1304,1,395,3,9316,1,29053,4277,0,4277,11351,1461,429,865,77,154,2053,25666,328,3,12494,99930,0.026253,7.99824,304.665,0.009146,288,32.75,34.862,275,32.75,27.4708,5021,304.665,560.645,3172,248.454,402.369,288,1.31098,16.7927,3172,15.5793,191.562,5021,19.064,282.209,3172,15.5793,191.562,663,4507,51681,0.087208,0.147105,336,6.79268,0.853235,336,6.79268,0.853235,3782,34.1951,63.0568,3782,34.1951,0.853235,706,7546,1.444444,-1,0.165722,0.737128,0,0,0,0,0,0,5614,52,5614,13,2,13,13,9,49,192,3.91837,22,2,25,3.91837,24,4.79583,3.91837,27,6.16441,?,?,?,?,15
grounded-strips-caldera,2,1,0,179,1,23,2,367,1,1817,224,0,224,519,30,113,229,41,85,79,1407,62,2,1510,3181,0.04106,2.10662,51.3065,0.032258,61,15.3065,11.4604,26,15.3065,7.4738,429,51.3065,66.2273,64,31.3387,18.8534,61,1.09677,7.72033,60,1.41935,8.28825,429,7.53226,54.1753,60,1.41935,8.28825,127,175,1719,0.101803,0.725714,8,1.37258,0.249903,8,1.37258,0.249903,26,4.18871,0.74971,26,4.18871,0.249903,137,257,1.4,-2,0.291971,0.593893,1,1,0,0.167598,0,1,699,201,699,7,1,5,7,5,31,94,3.03226,13,1,17,3.03226,14,2.82843,3.03226,19,4.24264,?,?,?,?,7
agricola,3,19,92,33,2,281,1,22,1,258,56431,1852,58283,209017,63001,147,323,6,41,55693,604875,142,1,2322,1125001,0.061154,484.497,7922.54,0.007042,95,15.8028,17.2166,79,15.8028,13.3318,186210,7922.54,23902.4,249884,6482.94,28989.6,22,0.15493,1.83969,20,0.140845,1.67244,45,0.316901,3.763,20,0.140845,1.67244,313,100054,563736,0.177484,0.003128,18492,213.351,0.166654,18636,217.766,0.166654,91444,880.316,0.458299,92452,913.569,0.166654,?,?,?,?,?,?,?,?,?,?,?,?,21228,8,23532,51,1,55,49,48,108,1555,14.3981,53,1,54,14.3981,54,17.0294,14.3981,62,18.0278,?,?,?,?,51
petri-net-alignment,2,3,612,4,1,4,268,951,1,2635,3401,0,3401,4474,914,269,881,1,345,951,6994,269,268,1087,3214,0.24747,2.95676,11.948,0.996283,201,4.04089,12.068,267,4.04089,18.0631,1032,11.948,65.7772,995,11.948,73.1383,201,4.03717,12.0691,688,8.24907,41.7555,1032,10.6691,62.5752,688,8.24907,41.7555,880,2493,5644,0.441708,0.352988,399,3.36245,0.121489,399,3.36245,0.121489,1142,7.44972,0.242978,1142,7.44972,0.121489,?,?,?,?,?,?,?,?,?,?,?,?,5074,349,5074,461,3,465,355,344,739,65005,87.9635,117,158,464,87.9635,344,105.962,87.9635,344,106.057,10,0,269,4,461
agricola,3,19,88,33,2,275,1,22,1,258,87455,1748,89203,326385,93961,121,281,8,55,86753,973629,116,1,1603,1882873,0.072364,1174.59,16231.7,0.008621,81,13.319,15.1382,59,13.319,11.5233,320102,16231.7,46549.4,443982,12808.7,57108.2,14,0.12069,1.29425,12,0.103448,1.10936,25,0.215517,2.31116,12,0.103448,1.10936,271,134254,817856,0.164154,0.002019,17943,334.249,0.092047,18260,331.71,0.092047,103797,1467.02,0.184095,106078,1457.95,0.092047,?,?,?,?,?,?,?,?,?,?,?,?,1276,8,1276,33,1,35,32,32,72,649,9.01389,37,1,34,9.01389,34,10.4403,9.01389,42,11.5758,?,?,?,?,32
petri-net-alignment,2,3,605,4,1,4,268,937,1,2593,3359,0,3359,4411,907,269,874,1,338,937,6903,269,268,1148,3165,0.234321,2.75697,11.7658,0.996283,238,4.26766,14.304,267,4.26766,18.7552,1011,11.7658,64.3817,981,11.7658,71.9114,238,4.26394,14.305,674,8.11896,40.8192,1011,10.513,61.2431,674,8.11896,40.8192,873,2460,5564,0.442128,0.354878,385,3.32714,0.121489,385,3.32714,0.121489,1112,7.36623,0.242978,1112,7.36623,0.121489,?,?,?,?,?,?,?,?,?,?,?,?,5067,342,5067,454,3,458,343,337,732,62616,85.541,117,158,457,85.541,337,103.523,85.541,337,103.624,10,0,269,4,454
agricola,3,19,86,33,2,269,1,22,1,258,41434,1651,43085,154288,44986,126,278,6,38,40750,449727,121,1,1728,852016,0.070023,493.065,7041.45,0.008264,83,13.7603,15.2001,64,13.7603,11.9413,142197,7041.45,20129.9,187259,5634.31,24601.2,16,0.132231,1.44852,14,0.115702,1.26746,30,0.247934,2.71598,14,0.115702,1.26746,268,68422,397923,0.171948,0.003917,9594,172.395,0.135237,9714,170.339,0.135237,49920,719.455,0.360631,50682,712.359,0.135237,?,?,?,?,?,?,?,?,?,?,?,?,2604,8,2732,38,1,40,36,36,81,836,10.321,41,1,39,10.321,39,12.083,10.321,47,13.1909,?,?,?,?,38
agricola,3,19,78,33,2,251,1,22,1,258,24375,1370,25745,91209,25471,99,221,6,35,23763,266917,93,1,1094,515765,0.085009,471.449,5545.86,0.010753,67,11.2688,13.4205,46,11.2688,9.42331,86986,5545.86,14333.7,120670,4325.65,17690.1,9,0.096774,0.928225,6,0.064516,0.618817,15,0.16129,1.54704,6,0.064516,0.618817,209,36626,222195,0.164837,0.005706,5061,119.733,0.15387,5141,117.964,0.15387,27117,515.794,0.307741,27628,509.466,0.15387,?,?,?,?,?,?,?,?,?,?,?,?,308,8,324,26,1,25,24,24,53,341,6.43396,28,1,24,6.43396,24,7.14143,6.43396,31,8.42615,?,?,?,?,26
petri-net-alignment,2,3,642,4,1,4,268,1011,1,2815,3581,0,3581,4744,944,269,911,1,375,1011,7384,269,268,1053,3424,0.255461,3.25166,12.7286,0.996283,175,3.9145,10.4961,267,3.9145,17.855,1122,12.7286,71.5329,1055,12.7286,78.1883,175,3.91078,10.4973,748,8.80669,45.3898,1122,11.3383,68.0473,748,8.80669,45.3898,910,2642,6002,0.440187,0.344436,445,3.52788,0.151861,445,3.52788,0.151861,1268,7.83625,0.303722,1268,7.83625,0.151861,?,?,?,?,?,?,?,?,?,?,?,?,5104,379,5104,491,3,495,387,374,769,75787,98.5527,117,158,494,98.5527,374,116.435,98.5527,374,116.52,10,0,269,4,491
petri-net-alignment,2,3,642,4,1,4,268,1011,1,2815,3581,0,3581,4744,944,269,911,1,375,1011,7384,269,268,1153,3424,0.233304,2.96964,12.7286,0.996283,241,4.28625,14.4851,267,4.28625,18.8154,1122,12.7286,71.4906,1055,12.7286,78.1658,241,4.28253,14.4861,748,8.80669,45.351,1122,11.3383,68.0028,748,8.80669,45.351,910,2643,6004,0.440207,0.344306,433,3.52974,0.121489,433,3.52974,0.121489,1244,7.84007,0.242978,1244,7.84007,0.121489,?,?,?,?,?,?,?,?,?,?,?,?,5104,379,5104,491,3,495,381,374,769,75788,98.554,117,158,494,98.554,374,116.435,98.554,374,116.52,10,0,269,4,491
agricola,3,19,85,33,2,268,1,22,1,258,73010,1632,74642,272199,77927,111,260,8,54,72335,798237,105,1,1345,1516502,0.078067,1127.51,14442.9,0.009524,75,12.2952,14.4841,51,12.2952,10.5098,268836,14442.9,40960.4,363996,11355.9,48525.2,11,0.104762,1.06837,8,0.076191,0.776993,20,0.190476,1.94248,8,0.076191,0.776993,248,109470,657705,0.166442,0.002265,16637,299.612,0.193321,16925,297.393,0.193321,92465,1360.86,0.386642,94481,1352.88,0.193321,?,?,?,?,?,?,?,?,?,?,?,?,644,8,716,31,1,30,29,28,63,487,7.73016,33,1,29,7.73016,29,8.77496,7.73016,37,10,?,?,?,?,31
petri-net-alignment,2,3,448,4,1,4,268,623,1,1651,2417,0,2417,2998,750,269,717,1,181,623,4862,269,268,1056,2066,0.254735,1.95644,7.6803,0.996283,179,3.92565,10.7383,267,3.92565,17.8299,540,7.6803,34.3064,667,7.6803,45.7928,179,3.92193,10.7395,360,5.20074,21.7959,540,7.01115,32.6545,360,5.20074,21.7959,716,1676,3682,0.455187,0.427208,222,2.45353,0.060744,222,2.45353,0.060744,540,5.32718,0.121489,540,5.32718,0.060744,716,623,1.661111,-119,-0.166201,4.445075,0,0.011194,0.105208,7.471919,32.219902,427743,4910,185,4910,297,3,301,189,180,575,21954,38.1809,117,158,300,38.1809,180,51.225,38.1809,180,51.4782,10,0,269,4,297
agricola,3,19,80,33,2,256,1,22,1,258,39948,1452,41400,149397,42097,100,229,7,43,39319,434310,94,1,1111,825237,0.084609,742.788,8779.12,0.010638,68,11.383,13.6702,47,11.383,9.37415,145962,8779.12,23657.2,197310,6863.34,28051.6,10,0.106383,1.02592,6,0.06383,0.615552,15,0.159574,1.53888,6,0.06383,0.615552,217,59444,355725,0.167107,0.00365,9273,185.71,0.153067,9423,183.822,0.153067,50165,837.372,0.306135,51215,830.537,0.153067,?,?,?,?,?,?,?,?,?,?,?,?,308,8,324,26,1,25,24,24,54,348,6.44444,29,1,24,6.44444,24,7.07107,6.44444,32,8.48528,?,?,?,?,26
grounded-strips-spider,2,1,0,758,1,93,30,12125,1,71677,12883,0,12883,71769,29822,717,1455,124,316,12077,201169,717,30,48129,778846,0.014898,16.1825,1086.26,0.041841,716,67.1255,87.7649,665,67.1255,71.5648,86875,1086.26,5967.34,73220,1086.26,4680.46,428,5.66248,39.4703,6888,42.2594,513.369,8045,102.457,698.987,6888,42.2594,513.369,1445,86959,865877,0.100429,0.016617,5778,60.5995,3.31913,5778,60.1072,3.33778,54425,547.891,27.0938,54425,544.444,3.33778,757,12125,5.352941,-23,0.091149,1.986982,-2,1.1,0.746101,37.252285,35.583584,3634,5286,241,4972,88,30,116,47,17,273,3831,14.033,141,14,118,14.033,124,20.7605,14.033,112,22.4944,?,?,?,?,88
spider,4,6,46,22,1,321,44,16,1,129,46198,40568,86766,290420,60662,707,2153,81,1583,43163,621554,704,44,73979,1967154,0.009516,26.5907,2794.25,0.0625,703,104.947,114.74,583,104.947,101.959,239783,2794.25,15920,196320,2793.56,10856.8,561,15.544,80.4137,15338,413.503,2103.92,13530,338.017,1875.84,15338,413.503,2103.92,2147,291459,2803275,0.103971,0.007366,12086,154.338,49.9351,12086,153.868,49.9313,68207,1284.43,322.615,68207,1281.14,49.9313,1500,44229,9.470589,-49,0.067333,2.571925,-1,1.477273,0.690475,55.479416,88.287598,8025,5713,297,5343,161,44,171,46,17,398,3531,8.87186,202,37,159,8.87186,196,24.7588,8.87186,49,12.3288,?,?,?,?,161
termes,2,3,16,7,0,51,13,7,0,52,694,2281,2975,3574,94,13,58,12,56,468,2807,13,12,73,1606,0.178082,22,123.538,0.923077,12,5.61538,2.61765,12,5.61538,2.61765,350,123.538,73.3009,572,123.538,180.446,11,4.69231,2.29999,518,79.5385,127.781,174,96.6154,43.3262,518,79.5385,127.781,58,636,2230,0.285202,0.091195,40,7.14103,1.28008,40,7.14103,1.28008,120,21.3462,3.84023,120,21.3462,1.28008,58,468,2,-5,0,1.033908,-1,0.333333,1.490712,3.653846,2.839744,40,23,5,16,11,1,8,7,5,21,25,1.19048,4,11,6,1.19048,5,1,1.19048,10,2.23607,1,0,13,0,11
snake,2,1,43,9,0,169,21,3,0,32,21956,1257,23213,109633,40873,208,511,3,101,21405,245622,208,21,39157,486000,0.005312,12.4116,2336.54,0.100962,207,188.255,8.64066,207,188.255,53.3636,105985,2336.54,9979.69,74581,2336.54,7044.93,203,20.4183,60.93,468,38.476,120.89,3716,325.923,987.783,468,38.476,120.89,511,127390,613390,0.207682,0.004011,10716,208.581,3.55371,10716,208.581,3.55371,54291,986.372,15.4224,54291,986.372,3.55371,369,21405,2.222222,-15,0.01626,1.818232,-5,0,1.195229,9.843681,23.128382,795,30,30,30,19,5,9,9,9,40,44,1.1,20,20,0,1.1,5,1.41421,1.1,9,2.82843,?,?,?,?,20
grounded-strips-settlers,2,1,0,1114,1,407,4,7616,1,22983,8730,0,8730,23390,11478,1028,2117,83,238,7616,56825,965,4,21901,142440,0.044062,6.50381,147.606,0.004145,200,22.1244,37.6138,299,22.1244,38.2905,3802,147.606,552.776,4291,146.669,631.568,200,0.250777,6.48053,4216,4.38756,135.647,356,0.427979,11.5009,4216,4.38756,135.647,1987,26375,167803,0.157178,0.075337,261,13.5379,0.514524,261,13.5379,0.514524,821,41.735,2.78165,821,41.735,0.514524,?,?,?,?,?,?,?,?,?,?,?,?,51,11,143,27,3,11,24,9,31,53,1.70968,20,3,8,1.70968,8,1.73205,1.70968,11,2.82843,?,?,?,?,27
grounded-strips-settlers,2,1,0,1349,1,436,3,11484,1,34607,12833,0,12833,35043,17079,1188,2485,155,424,11484,84407,1117,3,30586,186376,0.03652,6.09351,166.854,0.002686,363,26.6634,45.0526,446,26.6634,51.7705,5727,166.854,702.672,6630,165.588,827.474,363,0.330349,10.857,6517,5.83796,194.907,702,0.635631,20.9955,6517,5.83796,194.907,2333,39444,224136,0.175982,0.059147,474,16.9237,0.478304,469,16.6449,0.403569,1557,59.5474,1.2406,1547,58.6106,0.403569,?,?,?,?,?,?,?,?,?,?,?,?,20,3,20,9,2,4,9,7,12,14,1.16667,8,2,2,1.16667,3,0,1.16667,7,2,?,?,?,?,14
grounded-strips-nurikabe,2,1,0,157,1,39,3,588,1,1626,630,0,630,1452,487,94,201,108,248,337,2886,80,3,1069,3022,0.074836,2.82694,37.775,0.0375,58,11.85,12.8968,66,11.85,10.5001,277,37.775,54.2801,396,34.875,73.01,58,0.7625,6.44834,396,5.0625,43.9902,238,3.025,26.4405,396,5.0625,43.9902,169,922,3715,0.248183,0.183297,93,-9000,0.055203,77,-9000,0.055203,236,-9000,0.276015,207,-9000,0.055203,85,101,1.6,-2,0,0.685994,0,0,0,1.178694,0.168385,8,?,?,?,?,?,?,?,?,17,40,2.35294,7,2,8,2.35294,7,1.73205,2.35294,10,2.64575,?,?,?,?,?
data-network,5,5,51,10,4,223,3,5,1,61,1887,4424,6311,9040,229,49,127,3,35,1528,9776,49,3,241,6966,0.20332,28.9046,142.163,0.061225,12,4.91837,3.14829,32,4.91837,6.16387,832,142.163,169.677,1901,142.163,307.043,2,0.122449,0.479483,1,0.061225,0.239742,32,1.46939,6.25676,1,0.061225,0.239742,127,2500,7886,0.317017,0.0508,495,14.9256,0.069971,467,14.9256,0.069971,1633,35.132,0.139942,1533,35.132,0.069971,105,1530,2.333333,-8,0.028571,1.064198,1,1,0,7.181046,4.373203,44,26,6,26,14,3,6,10,6,19,52,2.73684,11,3,5,2.73684,7,2.23607,2.73684,10,3.60555,2,0,49,1,14
grounded-strips-settlers,2,1,0,1880,1,685,6,17626,1,52987,19506,0,19506,53672,27374,1830,3688,130,275,17626,130166,1755,6,49537,383406,0.035428,7.73979,218.465,0.003419,394,27.7385,51.6683,512,27.7385,56.9615,8798,218.465,1044.49,9752,217.617,1168.53,394,0.242735,9.41081,9640,5.50142,230.046,862,0.51396,20.5761,9640,5.50142,230.046,3528,61927,443455,0.139647,0.05697,485,17.4148,0.369782,481,17.3043,0.322068,1533,54.1695,2.66004,1525,53.9484,0.322068,?,?,?,?,?,?,?,?,?,?,?,?,140,14,140,50,5,17,38,12,46,102,2.21739,27,5,14,2.21739,16,3.31662,2.21739,13,3.4641,?,?,?,?,50
grounded-strips-caldera-split,2,1,0,820,1,198,4,3529,1,19070,3155,0,3155,9277,4540,423,846,0,0,2549,25283,345,4,12936,106593,0.02667,8.24003,308.965,0.011594,278,34.7449,35.375,136,34.7449,29.5708,8130,308.965,579.618,3265,294.319,415.454,278,1.21739,16.2396,3265,12.6058,183.807,8130,26.6493,440.307,3265,12.6058,183.807,690,8514,102183,0.083321,0.081043,451,12.3391,0.348934,451,12.3391,0.348934,1761,47.9391,4.18721,1761,47.9391,0.348934,528,1273,1.588235,-12,0.253788,1.221642,0,0.333333,0.471405,0.002393,0.00718,441,455578,56,455578,39,2,17,20,17,50,397,7.94,13,4,33,7.94,24,7,7.94,33,10.198,?,?,?,?,43
termes,2,3,16,7,0,51,13,7,0,52,694,2281,2975,3574,94,13,58,12,56,468,2807,13,12,73,1606,0.178082,22,123.538,0.923077,12,5.61538,2.61765,12,5.61538,2.61765,350,123.538,73.3009,572,123.538,180.446,11,4.69231,2.29999,518,79.5385,127.781,174,96.6154,43.3262,518,79.5385,127.781,58,636,2230,0.285202,0.091195,40,6.83333,2.30414,40,6.83333,2.30414,120,19.9615,7.16843,120,19.9615,2.30414,58,468,4,-10,0,1.938716,-1,1.083333,2.752524,6.185897,4.235043,51,46,19,41,18,4,13,12,4,26,44,1.69231,8,11,7,1.69231,9,2,1.69231,9,2.23607,1,0,13,0,17
grounded-strips-caldera-split,2,1,0,523,1,24,6,1749,1,8814,2272,0,2272,8837,3464,522,1044,0,0,1749,22752,435,6,8831,52703,0.049258,5.96795,121.156,0.013793,433,17.4506,32.4061,208,17.4506,21.1622,8498,121.156,473.184,2557,104.446,242.716,433,1.27586,21.0545,2557,8.10575,130.453,8498,24.954,420.599,2557,8.10575,130.453,870,6889,38882,0.177177,0.126288,300,7.91839,0.574033,300,7.91839,0.574033,1555,31.6333,17.6994,1555,31.6333,0.574033,365,1299,1.764706,-13,0.178082,1.677755,0,3,5.513619,1.436853,1.142857,884,911156,84,911156,53,4,31,22,17,71,464,6.53521,23,8,40,6.53521,34,8.3666,6.53521,34,8.94427,?,?,?,?,46
snake,2,1,31,9,0,123,19,3,0,32,10946,915,11861,54665,19676,150,369,3,75,10549,122080,150,19,19923,244905,0.007529,12.2926,1632.7,0.126667,149,132.82,7.21117,149,132.82,40.7315,51999,1632.7,5650.93,37821,1632.7,4133.14,145,18.2733,47.9821,404,40.32,111.231,2620,275.047,734.111,404,40.32,111.231,369,62548,307453,0.203439,0.005899,5408,143.247,3.60919,5408,143.247,3.60919,28783,686.393,16.6671,28783,686.393,3.60919,271,10549,1.833333,-6,0.02214,1.055415,-5,0,1.256562,7.248649,7.353398,176,19,19,19,11,5,7,6,6,35,30,0.857143,16,19,0,0.857143,5,1,0.857143,7,1.73205,?,?,?,?,11
