domain, requirements, types, objects, predicates, functions, init, goal, actions, use_min_cost_metric, generated_rules, relevant_atoms, auxiliary_atoms, final_queue_length, total_queue_pushes, effect_conditions_simplified, translator_variables, translator_facts, translator_mutex_groups, translator_total_mutex_groups_size, translator_operators, translator_task_size, numberVariablesCG, highLevelVariablesCG, totalEdgesCG, totalWeightCG, veRatio, weRatio, wvRatio, hvRatio, inputEdgeCGMax, inputEdgeCGAvg, inputEdgeCGStd, outputEdgeCGMax, outputEdgeCGAvg, outputEdgeCGStd, inputWeightCGMax, inputWeightCGAvg, inputWeightCGStd, outputWeightCGMax, outputWeightCGAvg, outputWeightCGStd, inputEdgeHVMax, inputEdgeHVAvg, inputEdgeHVStd, outputEdgeHVMax, outputEdgeHVAvg, outputEdgeHVStd, inputWeightHVMax, inputWeightHVAvg, inputWeightHVStd, outputWeightHVMax, outputWeightHVAvg, outputWeightHVStd, numberVariablesDTG, totalEdgesDTG, totalWeigthDTG, edVaRatioDTG, weEdRatioDTG, inputEdgeDTGMax, inputEdgeDTGAvg, inputEdgeDTGStd, outputEdgeDTGMax, outputEdgeDTGAvg, outputEdgeDTGStd, inputWeightDTGMax, inputWeightDTGAvg, inputWeightDTGStd, outputWeightDTGMax, outputWeightDTGAvg, outputWeightDTGStd, num_relevant_facts, num_actions, h_max, h_ff, h_ff_ratio, rp_fact_balance_min, rp_fact_balance_avg, rp_fact_balance_var, rp_goal_balance_min, rp_goal_balance_avg, rp_goal_balance_var, balance_Ratio, Unbalance_Ratio, Balance_Distorsion, Additive, Causal_graph, Context-enhanced_additive, FF, Goal_count, Landmark_count, Landmark-cut, Max, n_landmarks, numberEdges, edVaratioLand, numberFatherNodes, numberChildrenNodes, nodosbetween, avginput, maxinput, stdinput, avgoutput, maxoutput, stdoutput, blackVariables, blackRootVariables, redBlackVariables, allpairsvaluesconnected, allvaluesconnectedgoal, blackstronglpyarents, Maximaleffectsblack, Hred-black
nurikabe,2,4,121,13,0,482,13,4,0,39,17305,3620,20925,327013,22848,828,1795,15,169,15241,302618,828,13,14169,729921,0.058437,51.5154,881.547,0.015701,825,17.1123,54.9012,212,17.1123,24.7323,141619,881.547,6726.28,60024,881.547,2387.62,0,0,0,2,0.031401,0.248628,0,0,0,2,0.031401,0.248628,1791,141674,871595,0.162546,0.012642,15132,-9000,0.017355,15144,-9000,0.017355,105238,-9000,0.121487,105262,-9000,0.017355,3176,15241,18,107,5.944445,-6,0,0.529959,0,0,0,13.215624,6.627678,303,?,?,?,?,?,?,?,?,130,372,2.86154,50,13,67,2.86154,51,5,2.86154,15,3.16228,?,?,?,?,?,?,?,?
grounded-strips-settlers,2,1,0,2747,1,1064,5,29216,1,87881,31963,0,31963,88945,44925,2696,5423,140,301,29216,214190,2609,5,80044,815109,0.032595,10.1833,312.422,0.001916,474,30.2687,63.3606,612,30.2687,66.0094,14588,312.422,1678.34,15743,311.711,1821.76,474,0.199693,9.29189,15600,5.98505,305.354,1026,0.415102,20.0919,15600,5.98505,305.354,5239,102604,915457,0.11208,0.05106,594,19.4895,0.293554,590,19.4167,0.254413,1876,59.9395,1.86896,1868,59.7939,0.254413,?,?,?,?,?,?,?,?,?,?,?,?,?,?,172,12,172,59,4,13,39,12,38,58,1.52632,25,4,9,1.52632,12,2,1.52632,10,2.64575,?,?,?,?,?,?,?,54
termes,2,3,21,7,0,70,17,7,0,52,1224,4118,5342,6463,185,17,93,16,91,938,5605,17,16,105,3282,0.161905,31.2571,193.059,0.941176,16,6.17647,3.48501,16,6.17647,3.48501,714,193.059,143.565,1152,193.059,335.202,15,5.23529,2.79768,1066,125.294,236.366,356,151.059,71.2448,1066,125.294,236.366,93,1290,4564,0.282647,0.072093,52,8.23235,1.48375,52,8.23235,1.48375,156,24.6676,4.45124,156,24.6676,1.48375,93,938,8,32,4,-19,0,2.832226,-1,1.25,4.630065,8.920043,10.869936,276,148,23,89,38,4,22,16,8,39,73,1.87179,9,15,15,1.87179,18,2.82843,1.87179,11,2.64575,1,0,17,0,0,0,0,36
grounded-strips-flashfill,2,1,0,2018,1,88,2,16596,1,45187,18478,0,18478,44843,8886,1989,3984,785,1570,15558,119587,1989,2,30176,197383,0.065913,6.54106,99.2373,0.001006,1801,15.1714,73.9042,1579,15.1714,58.6128,24250,99.2373,841.069,6696,99.2373,397.431,1801,0.90548,40.3726,6696,3.39367,150.107,23284,11.7064,521.953,6696,3.39367,150.107,3984,22840,144023,0.158586,0.174431,1978,5.73873,0,1978,5.73873,0,10697,21.0654,0.10085,10697,21.0654,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,252,23,252,28,1,19,18,10,37,69,1.86486,27,1,9,1.86486,10,2,1.86486,28,4.69042,?,?,?,?,?,?,?,28
spider,4,6,42,22,1,284,40,16,1,129,40468,35614,76082,254224,53243,630,1908,73,1393,37773,543908,628,40,63358,1721107,0.009912,27.1648,2740.62,0.063694,627,100.758,107.671,519,100.758,92.1782,209785,2740.62,14752.2,171648,2739.93,10056.5,501,15.2516,75.7806,13522,406.541,1986.87,12134,331.51,1762.41,13522,406.541,1986.87,1904,252971,2428824,0.104154,0.007527,10716,151.748,48.6582,10716,151.278,48.6541,60540,1259.1,312.973,60540,1255.81,48.6541,1328,38719,17,131,7.705883,-41,0.064759,2.295299,0,1.425,0.586835,48.047855,75.268188,6914,5402,311,5005,142,40,152,49,17,353,2785,7.88952,180,33,140,7.88952,173,21.8174,7.88952,51,10.8167,?,?,?,?,?,?,?,142
data-network,5,5,188,10,4,830,17,5,1,61,11962,23679,35641,54861,1572,372,780,4,44,10680,66899,372,17,2460,46460,0.15122,18.8862,124.892,0.045699,48,6.6129,6.48287,237,6.6129,19.7517,5077,124.892,317.025,11107,124.892,677.031,2,0.091398,0.417663,1,0.045699,0.208831,30,0.72043,3.53436,1,0.045699,0.208831,780,20568,65636,0.313365,0.037923,4043,16.2878,0.025854,4043,16.2878,0.025854,13286,34.6752,0.051708,13286,34.6752,0.025854,?,?,?,?,?,?,?,?,?,?,?,?,?,?,127,34,127,83,17,34,46,6,83,148,1.78313,45,17,21,1.78313,21,2.82843,1.78313,13,2.23607,16,0,372,0,0,0,1,82
grounded-strips-flashfill,2,1,0,1457,1,65,2,11580,1,31579,12901,0,12901,31212,6606,1431,2868,553,1106,10818,83045,1431,2,20619,125737,0.069402,6.09811,87.8665,0.001398,1309,14.4088,62.5009,1159,14.4088,49.306,16426,87.8665,667.987,4884,87.8665,319.081,1309,0.914745,34.5914,4884,3.45073,129.071,15724,10.9881,415.52,4884,3.45073,129.071,2868,16744,92729,0.180569,0.171285,1204,5.84649,0,1204,5.84649,0,6677,21.4568,0.118875,6677,21.4568,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,132,28,132,24,1,14,14,9,28,52,1.85714,20,1,7,1.85714,8,1.73205,1.85714,21,4,?,?,?,?,?,?,?,24
agricola,3,19,98,33,2,296,2,22,1,258,167620,2098,169718,624553,183151,150,353,9,71,166825,1848811,145,2,2411,3540961,0.060141,1468.67,24420.4,0.013793,98,16.0897,17.7223,79,16.0897,13.4256,609462,24420.4,78214.1,806994,19490.9,94188.9,98,0.827586,8.29985,270,2,22.3946,609462,4203.5,50438.2,270,2,22.3946,343,267502,1603650,0.166808,0.001282,33948,529.338,2.17109,34578,529.338,2.17109,188050,2225.81,6.12556,192460,2225.81,2.17109,?,?,?,?,?,?,?,?,?,?,?,?,?,?,21007,17,22061,59,2,61,48,48,120,1605,13.375,57,2,61,13.375,59,16.7631,13.375,61,17.4069,?,?,?,?,?,?,?,58
termes,2,3,22,7,0,71,17,7,0,52,1484,4855,6339,7732,226,17,108,16,106,1112,6639,17,16,103,3902,0.165049,37.8835,229.529,0.941176,16,6.05882,3.5392,16,6.05882,3.5392,854,229.529,173.506,1356,229.529,397.261,15,5.11765,2.82598,1274,149.765,282.683,426,179.294,87.9811,1274,149.765,282.683,108,1532,5422,0.282553,0.070496,64,9.04412,1.82615,64,9.04412,1.82615,192,27.0882,5.47845,192,27.0882,1.82615,108,1112,6,20,3.333333,-14,0,1.943651,-1,0.8125,3.449977,4.941547,6.667266,147,113,11,67,25,2,19,14,6,36,78,2.16667,8,14,14,2.16667,14,2.44949,2.16667,14,3.31662,1,0,17,0,0,0,0,28
data-network,5,5,87,10,4,646,8,5,1,61,9538,16337,25875,41682,1093,307,671,7,71,8701,53847,307,8,2215,36410,0.1386,16.4379,118.599,0.026059,22,7.21498,5.65565,175,7.21498,17.7714,3047,118.599,225.459,6362,118.599,451.839,2,0.052117,0.318619,1,0.026059,0.15931,24,0.332248,2.17336,1,0.026059,0.15931,671,16380,50582,0.323831,0.040965,2405,15.903,0.028444,2405,15.903,0.028444,7483,33.8006,0.056887,7483,33.8006,0.028444,525,8709,6,47,7.833333,-15,0.015238,1.012191,1,1,0,26.739578,20.636929,257,66,16,66,47,8,16,23,6,44,73,1.65909,25,8,11,1.65909,8,1,1.65909,10,2.23607,8,0,307,0,0,0,1,47
nurikabe,2,4,101,13,0,390,11,4,0,39,10036,2737,12773,179980,12151,589,1285,13,133,8100,155173,589,11,9376,365553,0.06282,38.9882,620.633,0.018676,583,15.9185,46.0642,169,15.9185,20.934,71165,620.633,4030.06,31664,620.633,1528.83,0,0,0,2,0.037351,0.270754,0,0,0,2,0.037351,0.270754,1275,71205,436758,0.163031,0.017906,8021,-9000,0.020567,8031,-9000,0.020567,53242,-9000,0.14397,53262,-9000,0.020567,2236,8100,18,89,4.944445,-8,0.000447,0.597774,0,0.090909,0.28748,2.986684,3.894549,341,?,?,?,?,?,?,?,?,105,328,3.12381,42,11,52,3.12381,45,5.65685,3.12381,17,3.4641,?,?,?,?,?,?,?,?
spider,4,6,37,22,1,295,35,16,1,129,24438,23143,47581,155747,31470,496,1477,64,1054,22274,316935,494,35,39671,942472,0.012452,23.7572,1907.84,0.07085,493,80.1559,85.3638,398,80.1559,66.0558,115183,1907.84,9210.64,104960,1907.11,6392.11,385,13.0425,60.7078,9793,321.024,1489.96,7632,229.765,1155.46,9793,321.024,1489.96,1473,137787,1317509,0.104581,0.01069,6914,104.522,37.8231,6914,104.055,37.8192,43186,810.083,278.89,43186,806.817,37.8192,1025,22952,15,121,8.066667,-36,0.060488,2.281687,-2,1.485714,1.155643,45.213268,62.696278,5063,2150,236,1873,116,35,126,36,15,303,2153,7.10561,155,29,119,7.10561,148,19.2873,7.10561,45,9.38083,?,?,?,?,?,?,?,116
termes,2,3,43,7,0,160,36,7,0,52,4748,19770,24518,29227,792,36,309,35,307,3980,23659,36,35,247,14118,0.145749,57.1579,392.167,0.972222,35,6.86111,6.74188,35,6.86111,6.74188,3094,392.167,505.519,4852,392.167,1055.95,34,5.88889,4.88067,4634,257.389,740.704,1546,306.222,222.845,4634,257.389,740.704,309,5520,19626,0.28126,0.055978,88,8.82599,1.78241,88,8.82599,1.78241,264,26.4685,5.34722,264,26.4685,1.78241,309,3980,12,143,11.916667,-122,0,9.828958,-1,4.028572,20.242086,27.796984,68.239189,3371,4766,217,1858,162,23,116,62,12,152,554,3.64474,33,34,85,3.64474,107,8.94427,3.64474,10,2.82843,1,0,36,0,0,0,0,160
termes,2,3,31,7,0,112,26,7,0,52,2438,9152,11590,13921,386,26,171,25,169,1944,11583,26,25,171,6846,0.152047,40.0351,263.308,0.961538,25,6.57692,5.22695,25,6.57692,5.22695,1494,263.308,271.853,2380,263.308,590.7,24,5.61538,3.87375,2234,171.769,413.389,746,205.846,122.536,2234,171.769,413.389,171,2684,9518,0.281992,0.063711,64,8.16051,1.50859,64,8.16051,1.50859,192,24.4631,4.52576,192,24.4631,1.50859,171,1944,10,110,11,-91,0,9.86458,-1,3.88,17.808582,28.503601,54.293209,2102,1326,112,697,114,15,76,50,10,102,318,3.11765,25,24,53,3.11765,67,6.78233,3.11765,9,2.64575,1,0,26,0,0,0,0,111
agricola,3,19,90,33,2,279,2,22,1,258,95618,1815,97433,357080,103184,128,296,8,56,94898,1061744,123,2,1780,2047922,0.069101,1150.52,16649.8,0.01626,85,13.9024,15.5874,64,13.9024,12.0638,348285,16649.8,49012.9,475245,13190.7,59865.6,85,0.813008,7.74003,180,1.57724,16.2025,348285,2831.83,31275.9,180,1.57724,16.2025,286,149235,903345,0.165203,0.001916,19479,353.788,1.56445,19833,352.505,1.56445,109158,1511.37,4.20153,111660,1507.52,1.56445,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2620,17,2641,44,2,49,37,36,97,959,9.8866,48,2,47,9.8866,44,12.4097,9.8866,48,12.8452,?,?,?,?,?,?,?,44
grounded-strips-caldera-split,2,1,0,1509,1,214,8,18446,1,78749,16093,0,16093,54340,39176,1112,2224,0,0,14798,185255,950,8,28330,510760,0.033533,18.0289,537.642,0.008421,922,26.3768,51.5895,525,26.3768,36.3461,68655,537.642,2657.75,36223,510.161,2305.76,922,1.24632,30.5316,32925,38.8726,1075.12,68655,78.5674,2233.93,32925,38.8726,1075.12,1900,57067,406532,0.140375,0.033294,4201,30.0353,0.923689,4201,30.0353,0.923689,19517,123.983,28.6992,19517,123.983,0.923689,892,13077,17,44,2.588235,-22,0.035874,1.636486,0,3.285714,8.048323,0.039397,0.35129,1573,1366752,195,1366752,68,6,29,26,17,69,373,5.4058,24,6,39,5.4058,34,7.28011,5.4058,28,7.74597,?,?,?,?,?,?,?,66
organic-synthesis-split,3,34,48,194,1,96,71,184,1,985,10957,13846,24803,36844,20711,585,1170,0,0,9619,71807,544,7,16336,73770,0.033301,4.51579,135.607,0.012868,93,29.2408,18.2661,106,29.2408,20.4996,5166,135.607,273.256,5170,134.256,393.003,14,0.125,1.29868,890,1.91912,38.2116,474,1.05147,20.4039,890,1.91912,38.2116,1088,30108,99246,0.303367,0.036137,965,27.6728,0.021398,965,27.6728,0.021398,3612,88.5092,0.10699,3612,88.5092,0.021398,585,9619,10,22,2.2,-3,0.034188,0.296176,-3,-0.142857,1.2454,3.625117,0.095436,48,126,30,126,39,2,2,10,10,9,4,0.444444,3,6,0,0.444444,2,0,0.444444,2,0,?,?,?,?,?,?,?,40
termes,2,3,21,7,0,70,17,7,0,52,1224,4118,5342,6463,181,17,93,16,91,902,5391,17,16,103,3146,0.165049,30.5437,185.059,0.941176,16,6.05882,3.5392,16,6.05882,3.5392,686,185.059,139.13,1104,185.059,321.397,15,5.11765,2.82598,1022,120.118,226.759,342,144.706,70.5839,1022,120.118,226.759,93,1238,4372,0.283166,0.075121,52,7.98676,1.48375,52,7.98676,1.48375,156,23.9162,4.45124,156,23.9162,1.48375,93,902,7,30,4.285714,-23,0,3.407771,-1,1.3125,5.642681,9.902439,14.368071,302,149,21,92,33,3,20,17,7,37,76,2.05405,8,15,14,2.05405,15,2.64575,2.05405,12,2.82843,1,0,17,0,0,0,0,39
flashfill,5,9,36,125,1,41,1,270,1,2351,39305,17990,57295,833524,4760,3866,7753,43,102,35270,23740950,3864,1,34188,31784646,0.113022,929.702,8225.84,0.000259,3863,8.82479,105.64,3518,8.82479,63.2554,2760390,8225.84,106055,24790,93.014,758.802,0,0,0,40,0.010352,0.643406,0,0,0,40,0.010352,0.643406,7749,25688,144314,0.178001,0.301658,7028,3.3125,0.008042,7038,3.31768,0.008042,31634,14.9108,0.032166,31679,14.9341,0.008042,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,33,77,2.33333,22,1,10,2.33333,11,2.44949,2.33333,24,4.47214,?,?,?,?,?,?,?,?
termes,2,3,31,7,0,112,26,7,0,52,2438,9152,11590,13921,386,26,171,25,169,1944,11583,26,25,171,6846,0.152047,40.0351,263.308,0.961538,25,6.57692,5.22695,25,6.57692,5.22695,1494,263.308,271.853,2380,263.308,590.7,24,5.61538,3.87375,2234,171.769,413.389,746,205.846,122.536,2234,171.769,413.389,171,2684,9518,0.281992,0.063711,64,8.16051,1.50859,64,8.16051,1.50859,192,24.4631,4.52576,192,24.4631,1.50859,171,1944,9,87,9.666667,-72,0,7.809126,-1,3.44,14.008798,23.760801,40.98354,1232,1100,128,622,88,16,75,44,9,99,298,3.0101,22,24,53,3.0101,68,7,3.0101,8,2.44949,1,0,26,0,0,0,0,87
spider,4,6,42,22,1,340,40,16,1,129,41023,36458,77481,256931,54318,630,1909,73,1395,38215,534323,628,40,61914,1572106,0.010143,25.3918,2503.35,0.063694,627,98.4586,105.621,519,98.4586,87.4692,196089,2503.35,13650.9,171696,2502.67,9314.39,503,15.2532,75.7177,13530,410.984,1999.52,11224,307.79,1635.06,13530,410.984,1999.52,1905,239737,2271317,0.10555,0.007946,11151,140.636,50.439,11151,140.167,50.4356,67343,1099.51,359.889,67343,1096.23,50.4356,1329,39161,17,151,8.882353,-42,0.060948,2.391366,1,1.7,1.029563,51.783737,71.510719,6655,3513,246,3121,146,40,155,45,17,362,2537,7.00829,184,32,146,7.00829,178,20.445,7.00829,51,9.48683,?,?,?,?,?,?,?,143
settlers,3,19,179,50,1,840,7,28,1,446,6267,23279,29546,461730,68522,3406,6872,16,92,1530,286040,3101,7,80312,522601,0.038612,6.50713,168.527,0.002257,2519,24.7688,140.674,177,24.7688,18.7285,30163,168.527,1211.97,2112,164.431,272.405,247,0.377298,9.16731,6,0.00645,0.152239,458,0.726862,17.277,6,0.00645,0.152239,6262,111983,511687,0.218851,0.055919,250,17.9712,0.017952,250,17.9712,0.017952,1032,50.1332,0.035904,1032,50.1332,0.017952,?,?,?,?,?,?,?,?,?,?,?,?,?,?,289,24,289,77,8,27,45,12,67,107,1.59701,43,7,17,1.59701,21,2.64575,1.59701,11,2.64575,?,?,?,?,?,?,?,73
snake,2,1,82,9,0,372,78,3,0,32,104873,2988,107861,542005,185006,450,1130,3,236,103664,1220126,450,78,178200,2545512,0.002525,14.2846,5656.69,0.173333,449,396,35.3483,449,396,115.855,515608,5656.69,31309.8,391632,5656.69,24130.2,445,76.9711,168.094,1980,315.747,700.319,8360,1300.06,2881.21,1980,315.747,700.319,1130,619272,3164784,0.195676,0.001825,57457,463.76,3.52768,57457,463.76,3.52768,331124,2313.22,17.4738,331124,2313.22,3.52768,842,103664,12,25,2.083333,-20,0.007126,1.571705,-5,0,0.620174,5.028496,24.25876,2082,36,36,36,25,5,9,12,12,98,46,0.469388,20,77,1,0.469388,5,1,0.469388,10,1.73205,?,?,?,?,?,?,?,26
settlers,3,19,185,50,1,754,9,28,1,446,3426,11200,14626,230247,22330,1694,3404,16,48,447,94916,1562,9,30604,167622,0.051039,5.47713,107.312,0.005762,998,18.7843,83.8137,62,18.7843,9.25684,9742,107.312,554.278,595,104.907,90.2518,272,0.879001,14.3561,6,0.017926,0.267173,508,1.75928,27.6758,6,0.017926,0.267173,3140,38651,176936,0.218446,0.08124,102,12.339,0.025286,102,12.339,0.025286,430,43.525,0.050572,430,43.525,0.025286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,289,24,289,77,8,27,45,12,71,151,2.12676,45,9,17,2.12676,24,3.87298,2.12676,12,3.31662,?,?,?,?,?,?,?,73
data-network,5,5,61,10,4,472,4,5,1,61,4620,9535,14155,21565,479,142,341,7,71,4074,25495,142,4,941,17477,0.150903,18.5728,123.077,0.028169,18,6.62676,4.62176,79,6.62676,11.4477,1453,123.077,169.675,3111,123.077,320.874,2,0.056338,0.330911,1,0.028169,0.165455,30,0.464789,3.03654,1,0.028169,0.165455,341,6817,20802,0.327709,0.050022,997,14.309,0.041664,997,14.309,0.041664,3023,31.5767,0.083327,3023,31.5767,0.041664,276,4079,5,25,5,-7,0.014493,0.820794,1,1,0,14.582987,9.094876,84,31,8,31,22,4,8,14,5,20,24,1.2,12,4,4,1.2,2,0,1.2,4,1.41421,5,0,142,0,0,0,1,21
snake,2,1,37,9,0,138,12,3,0,32,15162,988,16150,74995,28555,171,416,3,80,14712,166415,171,12,26969,319185,0.006341,11.8353,1866.58,0.070175,170,157.713,7.81248,170,157.713,40.6049,72784,1866.58,7671.88,48816,1866.58,5146.41,166,11.6082,42.2546,224,11,43.1524,3008,171.52,640.597,224,11,43.1524,416,87496,406681,0.215147,0.004755,7259,79.107,1.48248,7298,84.3087,0,36056,355.016,5.92993,36056,375.823,0,296,14712,6,16,2.666667,-11,0.02027,1.552981,-5,0,1.581139,14.160276,20.546494,361,21,21,21,15,5,10,6,6,31,36,1.16129,18,12,1,1.16129,5,1.41421,1.16129,8,2.44949,?,?,?,?,?,?,?,17
termes,2,3,30,7,0,111,26,7,0,52,2009,7746,9755,11631,309,26,147,25,145,1574,9389,26,25,171,5514,0.152047,32.2456,212.077,0.961538,25,6.57692,5.22695,25,6.57692,5.22695,1198,212.077,217.744,1936,212.077,477.316,24,5.61538,3.87375,1790,137.615,331.227,598,166,98.1475,1790,137.615,331.227,147,2166,7668,0.282473,0.067867,52,7.34846,1.22573,52,5.51769,1.22573,156,22.0269,3.67718,156,16.5346,1.22573,147,1574,9,86,9.555555,-67,0,7.848047,-1,2.96,13.104136,24.322109,40.189327,1292,674,99,411,90,15,61,41,9,87,228,2.62069,25,24,38,2.62069,52,5.83095,2.62069,8,2.44949,1,0,26,0,0,0,0,86
agricola,3,19,114,33,2,448,1,22,1,258,534756,2940,537696,2009794,581489,167,437,12,127,533697,6000433,162,1,2964,11649861,0.054656,3930.45,71912.7,0.006173,109,17.679,19.7923,89,17.679,14.4678,1996680,71912.7,244526,2709820,57209.2,295907,25,0.154321,1.95811,24,0.148148,1.87979,55,0.339506,4.30785,24,0.148148,1.87979,427,820532,5012056,0.163712,0.00052,100536,1362.97,2060.95,102136,1360.89,2089.95,575744,5849.39,11431.2,586944,5843.18,2089.95,?,?,?,?,?,?,?,?,?,?,?,?,?,?,84972,8,94188,59,1,65,57,56,126,2156,17.1111,61,1,64,17.1111,64,20.347,17.1111,72,21.3073,?,?,?,?,?,?,?,59
caldera,4,19,267,31,0,346,8,8,0,285,1519145,54697,1573842,14469899,0,835,1670,0,0,191962,5087670,580,8,112944,23083939,0.005135,204.384,39799.9,0.013793,578,173.205,143.098,351,173.205,94.305,973034,39799.9,73717,213750,35507.2,61609,411,5.54483,46.8911,26874,324.341,2826.4,15251,202.538,1713.05,26874,324.341,2826.4,1160,435762,7211409,0.060427,0.002662,5832,375.657,0.37306,5832,375.657,0.37306,82568,4472.64,0.766846,82568,4472.64,0.37306,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,374,4.15556,44,8,38,4.15556,44,8.66025,4.15556,22,5.83095,?,?,?,?,?,?,?,?
organic-synthesis-split,3,34,23,1237,1,42,15,1252,1,6310,17418,47795,65213,88863,24192,1045,2090,0,0,14896,106264,896,15,30242,105227,0.029628,3.4795,117.441,0.016741,188,32.0759,33.8538,260,32.0759,21.7346,1920,117.441,152.778,1995,113.81,224.608,167,1.03795,10.3363,1687,2.75,56.9805,1920,3.7221,66.529,1687,2.75,56.9805,1792,39723,135653,0.292828,0.045112,420,22.1669,0.517241,420,22.1669,0.517241,1336,76.5257,3.33704,1336,76.5257,0.517241,?,?,?,?,?,?,?,?,?,?,?,?,?,?,486,10,486,39,2,21,25,13,68,245,3.60294,23,14,31,3.60294,15,3.60555,3.60294,37,7.14143,?,?,?,?,?,?,?,38
spider,4,6,56,22,1,474,54,16,1,129,107368,90100,197468,644874,152869,1038,3240,99,2459,102585,1384828,1036,54,151700,3958616,0.006829,26.095,3821.06,0.052124,1035,146.334,160.595,890,146.334,154.594,515573,3821.06,26973.7,408576,3820.5,17384.4,863,20.0058,114.504,25160,596.371,3266.19,23236,493.292,2985.64,25160,596.371,3266.19,3236,653465,6059809,0.107836,0.004952,26176,225.878,75.9764,26176,225.404,75.9735,154213,1764.83,548.162,154213,1761.51,75.9735,2268,104359,21,208,9.904762,-57,0.048501,2.39862,0,1.648148,1.074234,54.299923,87.204514,13377,7248,372,6059,197,54,205,57,21,479,3657,7.63466,245,44,190,7.63466,234,23.9792,7.63466,63,11.0905,?,?,?,?,?,?,?,198
spider,4,6,46,22,1,384,44,16,1,129,46464,41850,88314,288740,63289,706,2156,81,1593,43297,602134,704,44,75738,1761430,0.009295,23.2569,2502.03,0.0625,703,107.466,115.336,584,107.466,103.973,221231,2502.03,14500.4,189120,2501.42,9693.81,563,15.6335,80.1942,15360,410.29,2076.24,12524,311.298,1713.14,15360,410.29,2076.24,2152,270723,2548645,0.106222,0.007949,11992,141.433,48.5522,11992,140.963,48.5487,72409,1116.42,350.484,72409,1113.13,48.5487,1504,44363,17,153,9,-50,0.050532,2.437812,1,1.568182,0.836598,57.186527,72.40403,5679,7280,345,6849,158,44,170,44,17,401,3265,8.14214,205,36,160,8.14214,196,24.2693,8.14214,52,10.7703,?,?,?,?,?,?,?,160
termes,2,3,32,7,0,113,26,7,0,52,2867,10558,13425,16211,463,26,195,25,193,2314,13777,26,25,171,8178,0.152047,47.8246,314.538,0.961538,25,6.57692,5.22695,25,6.57692,5.22695,1790,314.538,325.963,2824,314.538,704.11,24,5.61538,3.87375,2678,205.923,495.552,894,245.692,146.926,2678,205.923,495.552,195,3202,11368,0.281668,0.060899,76,8.92055,1.79145,76,8.92055,1.79145,228,26.7432,5.37434,228,26.7432,1.79145,195,2314,10,105,10.5,-90,0,9.131517,-1,4.16,17.533237,25.870789,50.712189,1836,2156,147,1032,117,16,91,46,10,115,402,3.49565,22,24,69,3.49565,84,7.93725,3.49565,9,2.64575,1,0,26,0,0,0,0,111
organic-synthesis-split,3,34,29,1237,1,52,43,1252,1,6310,50817,74583,125400,192486,70912,1296,2592,0,0,43409,297008,1228,43,63884,285276,0.019222,4.46553,232.309,0.035016,270,50.3673,54.9814,457,50.3673,39.7651,4619,232.309,305.635,3510,215.76,435.268,234,1.83469,12.8134,2558,3.72068,73.5806,4619,6.56922,133.503,2558,3.72068,73.5806,2456,104266,353072,0.295311,0.023555,733,42.4536,1.88188,733,42.4536,1.88188,2599,150.544,7.34217,2599,150.544,1.88188,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2156,34,2156,69,4,44,35,26,129,776,6.0155,47,41,41,6.0155,29,8.88819,6.0155,46,11.9583,?,?,?,?,?,?,?,68
data-network,5,5,97,10,4,648,12,5,1,61,13049,20598,33647,55221,1686,469,995,7,71,11998,72963,469,11,3270,47522,0.143425,14.5327,101.326,0.023454,34,6.97228,5.85005,266,6.97228,22.3016,4334,101.326,247.29,8652,101.326,486.73,2,0.046908,0.302682,1,0.023454,0.151341,32,0.289979,2.12236,1,0.023454,0.151341,995,22458,67352,0.333442,0.044305,3165,14.2974,0.023039,3165,14.2974,0.023039,9665,30.2485,0.046077,9665,30.2485,0.023039,771,12012,6,65,10.833333,-19,0.014267,1.062778,1,1,0,31.937229,30.483932,447,93,22,93,65,11,22,30,6,67,142,2.1194,37,11,19,2.1194,9,2,2.1194,14,3,14,0,469,0,0,0,1,64
snake,2,1,50,9,0,198,24,3,0,32,30551,1478,32029,152809,57299,244,600,3,118,29904,342812,244,24,54102,677677,0.00451,12.5259,2777.36,0.098361,243,221.73,9.93135,243,221.73,61.7516,148290,2777.36,12927.7,103824,2777.36,9079.34,239,23.4303,70.939,548,44.9549,141.402,4400,378.553,1167.45,548,44.9549,141.402,600,178194,855871,0.208202,0.003367,14963,247.955,3.82536,14963,247.955,3.82536,75650,1170.78,16.4809,75650,1170.78,3.82536,432,29904,11,19,1.727273,-14,0.011574,1.633661,-5,0,1.118034,9.953184,26.196095,1107,33,33,33,21,5,10,11,11,44,41,0.931818,19,24,1,0.931818,5,1,0.931818,9,2.23607,?,?,?,?,?,?,?,22
